source_id,source_type,title,title_en,authors,institution,journal_or_publisher,year,language,doi,patent_number,publication_number,standard_number,source_url,local_source_path,license,access_date,quality_level,extraction_status,notes
CN_STD_HGT3660_1999,standard,热熔胶粘剂熔融粘度的测定,Testing methods for melt viscosity of hot-melt adhesives,,全国胶粘剂标准化技术委员会/上海橡胶制品研究所,全国标准信息公共服务平台,1999,zh,,,,HG/T 3660-1999,https://std.samr.gov.cn/hb/search/stdHBDetailedCNF?id=8B1827F159E3BB19E05397BE0A0AB44A,,Official metadata page,2026-09-05,A,official_standard_metadata,Current recommended chemical-industry standard. Specifies 180 C by default; other temperatures may be agreed; Brookfield-type rotational methods; measurable viscosity up to 200 Pa.s.
CN_STD_HGT3716_2003,standard,热熔胶粘剂开放时间的测定,Determination of open time of hot-melt adhesives,,全国胶粘剂标准化技术委员会,全国标准信息公共服务平台,2003,zh,,,,HG/T 3716-2003,https://std.samr.gov.cn/hb/search/stdHBDetailedCNF?id=8B1827F18A0DBB19E05397BE0A0AB44A,,Official metadata page,2026-09-05,A,official_standard_metadata,"Current recommended chemical-industry standard; published 2004-01-09, implemented 2004-05-01."
CN_STD_GBT16998_1997,standard,热熔胶粘剂热稳定性测定,Hot-melt adhesives—Determination of thermal stability,,全国胶粘剂标准化技术委员会,全国标准信息公共服务平台,1997,zh,,,,GB/T 16998-1997,https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D7B530D3A7E05397BE0A0AB82A,,Official metadata page,2026-09-05,A,official_standard_metadata,Current national recommended standard; reaffirmed 2023-12-28; equivalent adoption of ISO 10363:1992.
CN_STD_GBT15332_1994,standard,热熔胶粘剂软化点的测定 环球法,Determination of the softening point of hot-melt adhesives—Ball and ring method,,全国胶粘剂标准化技术委员会,全国标准信息公共服务平台,1994,zh,,,,GB/T 15332-1994,https://std.samr.gov.cn/gb/search/gbDetailedCNF?id=71F772D7AD46D3A7E05397BE0A0AB82A,,Official metadata page,2026-09-05,A,official_standard_metadata,Current national recommended standard; ball-and-ring method.
CN_STD_HGT5052_2016,standard,热熔胶粘剂热剪切破坏温度试验方法,Method for heat-fail temperature in shear of hot melt adhesives,,全国胶粘剂标准化技术委员会,全国标准信息公共服务平台,2016,zh,,,,HG/T 5052-2016,https://std.samr.gov.cn/hb/search/stdHBDetailed?id=8B1827F15811BB19E05397BE0A0AB44A,,Official metadata page,2026-09-05,A,official_standard_metadata,Current recommended chemical-industry standard; implemented 2017-04-01.
CN_STD_HGT3697_2016,standard,纺织品用热熔胶粘剂,Hot-melt adhesives for textiles,,全国胶粘剂标准化技术委员会,全国标准信息公共服务平台,2016,zh,,,,HG/T 3697-2016,https://std.samr.gov.cn/hb/search/stdHBDetailed?id=8B1827F231B8BB19E05397BE0A0AB44A,,Official metadata page,2026-09-05,A,official_standard_metadata,Current textile hot-melt adhesive product standard; fully replaced HG/T 3697-2002.
CN_STD_GBT2790_1995,standard,胶粘剂180°剥离强度试验方法 挠性材料对刚性材料,Adhesives—180 degree peel strength test method for flexible-to-rigid assemblies,,全国胶粘剂标准化技术委员会,全国标准信息公共服务平台,1995,zh,,,,GB/T 2790-1995,https://std.samr.gov.cn/gb/search/gbDetailedCNF?id=71F772D79580D3A7E05397BE0A0AB82A,,Official metadata page,2026-09-05,A,official_standard_metadata,Current; reaffirmed 2023-12-28; equivalent to ISO 8510-2:1990.
CN_STD_GBT7124_2008,standard,胶粘剂 拉伸剪切强度的测定（刚性材料对刚性材料）,Adhesives—Determination of tensile lap-shear strength of rigid-to-rigid bonded assemblies,,全国胶粘剂标准化技术委员会,全国标准信息公共服务平台,2008,zh,,,,GB/T 7124-2008,https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D77744D3A7E05397BE0A0AB82A,,Official metadata page,2026-09-05,A,official_standard_metadata,Current as of 2026-09-05; reaffirmed 2023-12-28. Revision project 20263575-T-606 was issued 2026-06-27 and is drafting.
CN_PAT_CN116265556B,patent_cn,一种湿固化聚氨酯热熔胶及其制备方法和应用,"Moisture-curing polyurethane hot-melt adhesive, preparation method and application",,,CNIPA / Google Patents,2023,zh,,CN116265556B,CN116265556B,,https://patents.google.com/patent/CN116265556B/zh,,See source,2026-09-05,B,structured_claimed_ranges_and_process,Text exposes preferred process/NCO/viscosity envelopes and test protocols; formulation/performance tables are image-based and are not numerically transcribed without verification.
CN_REVIEW_LEI2017_PUR,review_secondary,PUR热熔胶研究进展,Research progress of PUR hot-melt adhesives,雷云飞; 邓娟; 欧静; 等,,粘接 38(12):57-61; web reprint used for accessible text,2017,zh,,,,,https://www.sohu.com/a/344384210_284768,,Secondary accessible reprint; do not redistribute article full text,2026-09-05,C,secondary_report_only,"Accessible reprint reports Cao Sheng 2016 thesis optimum synthesis conditions. Kept as secondary evidence only, excluded from A/B numerical training by default."
